,model,image_name,image_index,no_of_pieces,correct_pos,correct_pos_and_orientation,time_taken,solved
0,FromScratch,CUB_200_test/172.Nashville_Warbler/Nashville_Warbler_0018_2913359398.jpg,1,36,36,36,21.28,1
1,FromScratch,CUB_200_test/172.Nashville_Warbler/Nashville_Warbler_0008_2622390699.jpg,2,36,1,1,21.95,0
2,FromScratch,CUB_200_test/182.Yellow_Warbler/Yellow_Warbler_0011_1519517567.jpg,3,36,36,36,20.3,1
3,FromScratch,CUB_200_test/182.Yellow_Warbler/Yellow_Warbler_0012_520734471.jpg,4,36,4,4,21.32,0
4,FromScratch,CUB_200_test/167.Hooded_Warbler/Hooded_Warbler_0019_2102837510.jpg,5,36,36,36,21.66,1
5,FromScratch,CUB_200_test/167.Hooded_Warbler/Hooded_Warbler_0020_2495513053.jpg,6,36,2,1,19.79,0
6,FromScratch,CUB_200_test/184.Louisiana_Waterthrush/Louisiana_Waterthrush_0012_2512152505.jpg,7,36,36,36,21.23,1
7,FromScratch,CUB_200_test/184.Louisiana_Waterthrush/Louisiana_Waterthrush_0014_505034903.jpg,8,36,36,36,19.9,1
8,FromScratch,CUB_200_test/179.Tennessee_Warbler/Tennessee_Warbler_0018_2499166295.jpg,9,36,34,34,21.39,0
9,FromScratch,CUB_200_test/179.Tennessee_Warbler/Tennessee_Warbler_0022_2493251491.jpg,10,36,34,34,20.48,0
10,FromScratch,CUB_200_test/200.Common_Yellowthroat/Common_Yellowthroat_0022_2580879419.jpg,11,36,21,20,20.23,0
11,FromScratch,CUB_200_test/200.Common_Yellowthroat/Common_Yellowthroat_0010_2805604537.jpg,12,36,18,16,20.21,0
12,FromScratch,CUB_200_test/162.Canada_Warbler/Canada_Warbler_0007_2693139833.jpg,13,36,34,34,21.43,0
13,FromScratch,CUB_200_test/162.Canada_Warbler/Canada_Warbler_0027_528973155.jpg,14,36,36,36,19.95,1
14,FromScratch,CUB_200_test/176.Prairie_Warbler/Prairie_Warbler_0001_2485446708.jpg,15,36,36,36,21.47,1
15,FromScratch,CUB_200_test/176.Prairie_Warbler/Prairie_Warbler_0016_525721633.jpg,16,25,8,8,10.62,0
16,FromScratch,CUB_200_test/177.Prothonotary_Warbler/Prothonotary_Warbler_0015_2832137352.jpg,17,25,25,25,8.94,1
17,FromScratch,CUB_200_test/177.Prothonotary_Warbler/Prothonotary_Warbler_0022_145412805.jpg,18,36,31,31,21.2,0
18,FromScratch,CUB_200_test/173.Orange_crowned_Warbler/Orange_crowned_Warbler_0031_2892735873.jpg,19,36,1,1,21.48,0
19,FromScratch,CUB_200_test/173.Orange_crowned_Warbler/Orange_crowned_Warbler_0013_2893576294.jpg,20,36,12,12,21.72,0
20,FromScratch,CUB_200_test/186.Cedar_Waxwing/Cedar_Waxwing_0012_381146020.jpg,21,36,27,27,20.37,0
21,FromScratch,CUB_200_test/186.Cedar_Waxwing/Cedar_Waxwing_0008_497721048.jpg,22,25,25,25,10.16,1
22,FromScratch,CUB_200_test/165.Chestnut_sided_Warbler/Chestnut_sided_Warbler_0006_141303976.jpg,23,36,22,22,20.82,0
23,FromScratch,CUB_200_test/165.Chestnut_sided_Warbler/Chestnut_sided_Warbler_0017_2526112636.jpg,24,36,34,34,21.39,0
24,FromScratch,CUB_200_test/192.Downy_Woodpecker/Downy_Woodpecker_0007_400064101.jpg,25,36,30,29,20.44,0
25,FromScratch,CUB_200_test/192.Downy_Woodpecker/Downy_Woodpecker_0038_2237320201.jpg,26,36,9,9,21.09,0
26,FromScratch,CUB_200_test/164.Cerulean_Warbler/Cerulean_Warbler_0022_2658928684.jpg,27,36,17,16,21.02,0
27,FromScratch,CUB_200_test/164.Cerulean_Warbler/Cerulean_Warbler_0008_2513907655.jpg,28,36,26,26,21.48,0
28,FromScratch,CUB_200_test/195.Carolina_Wren/Carolina_Wren_0026_2572041521.jpg,29,36,36,36,21.66,1
29,FromScratch,CUB_200_test/195.Carolina_Wren/Carolina_Wren_0024_3083663456.jpg,30,36,4,3,21.57,0
30,FromScratch,CUB_200_test/198.Rock_Wren/Rock_Wren_0004_280349757.jpg,31,36,36,36,21.77,1
31,FromScratch,CUB_200_test/198.Rock_Wren/Rock_Wren_0025_2538963798.jpg,32,36,33,33,21.41,0
32,FromScratch,CUB_200_test/178.Swainson_Warbler/Swainson_Warbler_0014_2517642117.jpg,33,36,32,32,19.9,0
33,FromScratch,CUB_200_test/178.Swainson_Warbler/Swainson_Warbler_0007_2658101657.jpg,34,36,36,36,20.63,1
34,FromScratch,CUB_200_test/185.Bohemian_Waxwing/Bohemian_Waxwing_0037_2303294858.jpg,35,36,2,1,21.45,0
35,FromScratch,CUB_200_test/185.Bohemian_Waxwing/Bohemian_Waxwing_0023_2330433383.jpg,36,36,36,36,22.07,1
36,FromScratch,CUB_200_test/169.Magnolia_Warbler/Magnolia_Warbler_0022_xxx.jpg,37,36,36,36,19.94,1
37,FromScratch,CUB_200_test/169.Magnolia_Warbler/Magnolia_Warbler_0020_2501274595.jpg,38,36,1,1,21.65,0
38,FromScratch,CUB_200_test/171.Myrtle_Warbler/Myrtle_Warbler_0003_1527801198.jpg,39,36,36,36,21.07,1
39,FromScratch,CUB_200_test/171.Myrtle_Warbler/Myrtle_Warbler_0010_2349521187.jpg,40,36,21,20,21.23,0
40,FromScratch,CUB_200_test/194.Cactus_Wren/Cactus_Wren_0020_2275534895.jpg,41,25,1,1,9.86,0
41,FromScratch,CUB_200_test/194.Cactus_Wren/Cactus_Wren_0019_1653250171.jpg,42,36,36,36,20.7,1
42,FromScratch,CUB_200_test/191.Red_headed_Woodpecker/Red_headed_Woodpecker_0022_2720313574.jpg,43,25,1,1,9.51,0
43,FromScratch,CUB_200_test/191.Red_headed_Woodpecker/Red_headed_Woodpecker_0009_2195922004.jpg,44,36,2,1,22.36,0
44,FromScratch,CUB_200_test/193.Bewick_Wren/Bewick_Wren_0033_2188826934.jpg,45,36,27,26,20.98,0
45,FromScratch,CUB_200_test/193.Bewick_Wren/Bewick_Wren_0018_305351820.jpg,46,36,2,2,20.92,0
46,FromScratch,CUB_200_test/188.Pileated_Woodpecker/Pileated_Woodpecker_0006_2443246132.jpg,47,36,1,1,21.01,0
47,FromScratch,CUB_200_test/188.Pileated_Woodpecker/Pileated_Woodpecker_0039_2921473905.jpg,48,36,34,34,21.7,0
48,FromScratch,CUB_200_test/199.Winter_Wren/Winter_Wren_0012_2929759406.jpg,49,36,36,36,22.12,1
49,FromScratch,CUB_200_test/199.Winter_Wren/Winter_Wren_0030_2932680684.jpg,50,36,9,8,21.23,0
50,FromScratch,CUB_200_test/197.Marsh_Wren/Marsh_Wren_0017_2558031690.jpg,51,36,18,17,20.82,0
51,FromScratch,CUB_200_test/197.Marsh_Wren/Marsh_Wren_0009_2922346479.jpg,52,36,31,31,21.36,0
52,FromScratch,CUB_200_test/161.Blue_winged_Warbler/Blue_winged_Warbler_0025_859531940.jpg,53,36,22,20,21.34,0
53,FromScratch,CUB_200_test/161.Blue_winged_Warbler/Blue_winged_Warbler_0027_2927621347.jpg,54,36,36,36,20.72,1
54,FromScratch,CUB_200_test/189.Red_bellied_Woodpecker/Red_bellied_Woodpecker_0031_2524625515.jpg,55,36,36,36,21.54,1
55,FromScratch,CUB_200_test/189.Red_bellied_Woodpecker/Red_bellied_Woodpecker_0023_2258353895.jpg,56,25,19,17,9.29,0
56,FromScratch,CUB_200_test/168.Kentucky_Warbler/Kentucky_Warbler_0012_2447876167.jpg,57,25,23,23,10.01,0
57,FromScratch,CUB_200_test/168.Kentucky_Warbler/Kentucky_Warbler_0020_549059736.jpg,58,25,3,2,9.25,0
58,FromScratch,CUB_200_test/196.House_Wren/House_Wren_0022_2982711158.jpg,59,36,36,36,20.79,1
59,FromScratch,CUB_200_test/196.House_Wren/House_Wren_0010_2886596722.jpg,60,36,36,36,20.44,1
60,FromScratch,CUB_200_test/174.Palm_Warbler/Palm_Warbler_0009_374688662.jpg,61,36,32,32,20.6,0
61,FromScratch,CUB_200_test/174.Palm_Warbler/Palm_Warbler_0016_2954752957.jpg,62,16,16,16,3.55,1
62,FromScratch,CUB_200_test/175.Pine_Warbler/Pine_Warbler_0010_517843130.jpg,63,36,1,1,21.46,0
63,FromScratch,CUB_200_test/175.Pine_Warbler/Pine_Warbler_0025_2427811232.jpg,64,36,6,6,20.56,0
64,FromScratch,CUB_200_test/180.Wilson_Warbler/Wilson_Warbler_0014_2903357742.jpg,65,36,36,35,20.69,0
65,FromScratch,CUB_200_test/180.Wilson_Warbler/Wilson_Warbler_0028_2525898597.jpg,66,36,9,8,20.92,0
66,FromScratch,CUB_200_test/170.Mourning_Warbler/Mourning_Warbler_0034_2812894924.jpg,67,36,28,27,21.11,0
67,FromScratch,CUB_200_test/170.Mourning_Warbler/Mourning_Warbler_0017_2497552546.jpg,68,36,36,36,20.88,1
68,FromScratch,CUB_200_test/181.Worm_eating_Warbler/Worm_eating_Warbler_0017_3028697970.jpg,69,36,36,36,19.65,1
69,FromScratch,CUB_200_test/181.Worm_eating_Warbler/Worm_eating_Warbler_0025_2464667213.jpg,70,36,36,36,19.9,1
70,FromScratch,CUB_200_test/190.Red_cockaded_Woodpecker/Red_cockaded_Woodpecker_0010_625802406.jpg,71,16,5,5,3.72,0
71,FromScratch,CUB_200_test/190.Red_cockaded_Woodpecker/Red_cockaded_Woodpecker_0016_115003148.jpg,72,36,2,1,20.25,0
72,FromScratch,CUB_200_test/187.American_Three_toed_Woodpecker/American_Three_toed_Woodpecker_0005_32925351.jpg,73,25,25,25,9.67,1
73,FromScratch,CUB_200_test/187.American_Three_toed_Woodpecker/American_Three_toed_Woodpecker_0011_2599789306.jpg,74,25,25,25,9.93,1
74,FromScratch,CUB_200_test/166.Golden_winged_Warbler/Golden_winged_Warbler_0028_1236870078.jpg,75,36,36,36,20.53,1
75,FromScratch,CUB_200_test/166.Golden_winged_Warbler/Golden_winged_Warbler_0018_2507666617.jpg,76,36,33,33,21.0,0
76,FromScratch,CUB_200_test/163.Cape_May_Warbler/Cape_May_Warbler_0018_2469638982.jpg,77,36,28,28,19.32,0
77,FromScratch,CUB_200_test/163.Cape_May_Warbler/Cape_May_Warbler_0004_512726047.jpg,78,36,6,6,21.67,0
78,FromScratch,CUB_200_test/183.Northern_Waterthrush/Northern_Waterthrush_0007_278878325.jpg,79,36,36,36,19.82,1
79,FromScratch,CUB_200_test/183.Northern_Waterthrush/Northern_Waterthrush_0022_2461117821.jpg,80,25,25,25,9.51,1
